page_id,course_code,source_surface,link_index,text,href,raw_href,target,download,is_canvas_local,belongs_to_course
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,145,Achieve - 2.3 Volumes of Revolution: Cylindrical Shells,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982628,/courses/2080857/modules/items/26982628,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,146,Acheive - 2.4 Arc Length of a Curve (NO Surface Area),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982629,/courses/2080857/modules/items/26982629,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,147,0 In Progress 0 Complete,https://canvas.oregonstate.edu/courses/2080857/modules#,#,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,148,Mini-Exam 4 --> Tuesday to Thursday,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982630,/courses/2080857/modules/items/26982630,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,149,0 In Progress 0 Complete,https://canvas.oregonstate.edu/courses/2080857/modules#,#,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,150,Module 9 — Overview,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982631,/courses/2080857/modules/items/26982631,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,151,Module 9 — Learning Materials and Practice Activities 🕓 3 - 5 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982632,/courses/2080857/modules/items/26982632,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,152,"Dr. G's Lecture Notes--> Sects. 2.5-1, 2.5-2, 3.7",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982633,/courses/2080857/modules/items/26982633,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,153,Dr. G's Videos --> 2.5,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982634,/courses/2080857/modules/items/26982634,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,154,RQ-2.5,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982635,/courses/2080857/modules/items/26982635,,,yes,yes
